,Unnamed: 0,timestamp,total_power,p0,p1,p2,p3,p4,p5,p6,cluster
0,0,2022-09-29 21:53:56.128000+00:00,100.0,-2.0,0.3965504704327359,2.0,2.0,2.0,0.5767104364911897,2.0,4
1,1,2022-09-29 21:53:56.255000+00:00,26.523890875949352,-2.0,-0.0716649658912025,-0.9663737175028392,-0.7560737617634146,-0.5226739548337684,-0.0449924984492399,0.9717856056131012,0
2,2,2022-09-29 21:53:56.382000+00:00,6.306173353850776,-2.0,-0.8923935163180634,0.5741052431930732,-0.5764223618494095,-0.9600942767839854,-0.2719864856506087,-0.1961269212658642,0
3,3,2022-09-29 21:53:56.509000+00:00,22.73581245590205,-2.0,-0.9039825519097472,0.2950416097217427,-1.087382417055221,1.1773315720262054,-1.011251426052949,0.0527210093580084,0
4,4,2022-09-29 21:53:56.636000+00:00,100.0,-1.8625478738393293,-0.7223218304024422,1.0640257638835269,-1.106576663632621,2.0,1.4689672958308124,0.5433429257927122,0
5,5,2022-09-29 21:53:56.763000+00:00,71.10878103896837,-1.1761063058243433,-0.3695020979031524,1.0590866561797567,-0.5541921784374784,0.753291913618214,-0.3636146932215369,0.8187734066696934,0
6,6,2022-09-29 21:53:56.890000+00:00,74.0094534802431,-1.1442289830216,-0.1778881397772029,0.03563760110511,-0.7432251988105897,0.4703651011986191,0.5349465910266338,0.7104442199661196,0
7,7,2022-09-29 21:53:57.017000+00:00,53.72180413350408,-1.2624127440477075,-0.4709599139200104,-0.1359225284081284,1.772543323378659,0.3941363807225667,0.5388607043826592,-0.4790437629304152,0
8,8,2022-09-29 21:53:57.144000+00:00,26.469117401880585,-1.2408963578203838,-0.5346221328360928,-0.8302362426853271,0.5957458758432406,0.34664363028279,0.0849909223259273,-1.0991292874347152,0
9,9,2022-09-29 21:53:57.271000+00:00,34.47341461366444,-1.0710358091508805,-0.6827617007921156,0.3790377408279038,0.5828460881229875,1.122938567141623,-0.2047154948949258,-1.0425960947139368,0
10,10,2022-09-29 21:53:57.398000+00:00,88.23004325404172,-0.929434084333296,-0.9774870395814872,0.2255211601971511,1.8713736337192863,0.143938521887421,0.6491464047220707,0.8948075054842614,3
11,11,2022-09-29 21:53:57.525000+00:00,61.77774270281259,-0.921200418036712,-0.5356130916349985,-0.1494270232009376,0.2803372059333807,-0.6292485306413144,1.8203634821945816,-0.4682513111057999,0
12,12,2022-09-29 21:53:57.652000+00:00,97.25662158239592,-0.9555119935672592,-0.3515134791951731,0.1759522857832167,-0.956934092129852,-0.2042868465742843,2.0,0.6095471356076144,0
13,13,2022-09-29 21:53:57.779000+00:00,53.31969673194989,-0.9169421044797568,-0.9349558343285458,0.1378302394326276,-0.1616663994101207,1.149463078134666,-0.3984452841185498,0.0358410454161318,0
14,14,2022-09-29 21:53:57.906000+00:00,78.30103353189277,-0.9080329728414248,-0.4159491540815316,-0.4037485464654417,2.0,0.4507378862450454,0.0080186110743242,0.7437499146356444,0
15,15,2022-09-29 21:53:58.033000+00:00,46.44064391504416,-1.208553324329475,0.0563126814887964,-0.4683470515405519,1.2944753617030196,-0.8787644050143499,1.6837488323217655,-1.0823060067611816,0
16,16,2022-09-29 21:53:58.160000+00:00,70.56027503162403,-1.7569720973496312,-0.7165348496872289,-0.4740445149571513,-0.6245751663907251,0.4423940683045629,1.5717230211590345,0.3747858298256815,0
17,17,2022-09-29 21:53:58.287000+00:00,19.13336932696275,-2.0,-0.9013696785969788,0.7751634172387303,-0.388977843943658,-0.3646000016543168,-0.8380530039747114,-0.5123432834686649,0
18,18,2022-09-29 21:53:58.414000+00:00,27.87803445981185,-1.9677970842036536,-0.5449104066260382,-0.2890836601407721,-0.920159422330699,-0.305291872016349,0.8787691421065712,-0.8913724632740451,0
19,19,2022-09-29 21:53:58.541000+00:00,23.946530832685745,-1.5249630756654378,-0.6315655816098003,-0.5845197458165505,-0.6647854050416625,0.4088191457182534,0.0916232342004965,-0.9441840703090412,0
20,20,2022-09-29 21:53:58.668000+00:00,21.542326869116454,-1.1873468735698065,-0.7453683981615145,-0.782709876867305,0.9452307226787676,-0.8331842070372283,-0.4119851629643475,-0.8350566610247349,0
21,21,2022-09-29 21:53:58.795000+00:00,38.9372386091087,-1.1688470270363258,-0.8684214178171115,1.748803697520722,0.4845725135247979,0.0605486106065215,-0.4376791659127013,-0.6590134787589983,0
22,22,2022-09-29 21:53:58.922000+00:00,27.692924395111,-1.4501922999947283,-0.926357702205559,-0.0199834725872496,-0.3542027391721391,-0.5678968163088838,0.385766842720632,-0.8699788691053084,0
23,23,2022-09-29 21:53:59.049000+00:00,43.7326441595337,-1.7071527687284676,-1.0123905193715124,-0.4686422759436252,1.0580531182638535,-0.3327271037623432,-0.4874663468250123,0.233402283854184,0
24,24,2022-09-29 21:53:59.176000+00:00,56.72538592608871,-1.6869299666547843,-0.9018645134211376,-0.5676579148903397,-0.312415658587145,-1.0967027214969385,-0.5629686388945365,1.2538861018674354,0
25,25,2022-09-29 21:53:59.303000+00:00,76.9953076941973,-1.439205698016056,-0.8886265031298123,2.0,-0.7499350667982707,-0.4482775770988071,0.7064414258293741,0.763095554335193,0
26,26,2022-09-29 21:53:59.430000+00:00,68.02370024410213,-1.099878444389141,-0.9011725707724092,1.4361266935671542,-1.037656304386766,0.1849521468877166,0.4795216950009161,0.3886021120406568,0
27,27,2022-09-29 21:53:59.557000+00:00,44.63506108688786,-0.7836074625905608,-0.881288161003344,-1.1191433706121856,-0.148112967295051,0.1561678453829136,-0.5922901212932151,0.1676967202286745,0
