,Unnamed: 0,timestamp,total_power,p0,p1,p2,p3,p4,p5,p6,cluster
0,0,2022-09-29 19:49:26.176000+00:00,63.03298850574562,-2.0,0.4984038674010586,2.0,1.630433487140254,2.0,1.1664690146505845,-0.0658283547899215,4
1,1,2022-09-29 19:49:26.303000+00:00,11.900976454389989,-2.0,0.2831641984777617,-0.4257490225639216,0.8770014599814113,0.9939987220027892,0.2497191242681886,-0.579841188074668,0
2,2,2022-09-29 19:49:26.430000+00:00,0.0,-2.0,-0.2640105354678135,0.7148009336583372,1.1224041576251405,-0.84528990208063,-0.8782655445974265,-0.8452970827016315,4
3,3,2022-09-29 19:49:26.557000+00:00,61.712632734315214,-2.0,-0.3081987454985003,0.6978691500624551,-0.9021988122441492,-1.038371454271543,-0.6435519848539633,2.0,3
4,4,2022-09-29 19:49:26.684000+00:00,27.04090352917004,-1.158012157830402,-0.3321982565267342,-1.2014424692676045,-1.1535636250537007,0.6467786895637454,-0.1301316707993599,-1.237021559798551,0
5,5,2022-09-29 19:49:26.811000+00:00,52.88563881910186,-0.3446207779064032,0.3448465234084379,-0.5267153478132006,-0.8339431151092258,0.3015025373341172,0.0305286649140366,-0.5952980992660969,0
6,6,2022-09-29 19:49:26.938000+00:00,54.73485835921991,-0.4295128311414405,1.606522403601604,-0.9855950120908452,-0.0438754862196678,0.6849375720662318,-0.9136485645789958,-0.3224279196747657,0
7,7,2022-09-29 19:49:27.065000+00:00,47.98184965992248,-0.5459979579990871,0.2911248550967867,0.9264326942516564,-0.936278877587956,0.6847684991308863,-0.7264464980499048,-0.8030944911202494,0
8,8,2022-09-29 19:49:27.192000+00:00,94.0485927993416,-0.2817948260033177,-0.8272603975239995,2.0,0.0169998168564564,2.0,-0.1441037418042594,0.2419049638121616,1
9,9,2022-09-29 19:49:27.319000+00:00,52.86585046825918,0.1351755675159758,-0.6913139095663308,1.1438421570863542,0.4285538194113437,-0.5215346168289994,-0.2405406063555563,-0.9616400098003056,1
10,10,2022-09-29 19:49:27.446000+00:00,52.346385528423454,0.3672814382100325,0.2693188242273489,0.7579941777170139,-0.1552236159958377,-0.0944464504516694,-0.5012927830621934,-1.1069256257212594,0
11,11,2022-09-29 19:49:27.573000+00:00,59.63883087537236,0.2866131267059069,1.1764174063090878,-0.5228581759871191,-0.9000961736731611,-0.3901428263154092,-0.9068917460646376,-0.0332492448447635,0
12,12,2022-09-29 19:49:27.700000+00:00,53.71879194404069,-0.03877802883647,1.3673059426554266,-0.8040254799280968,-0.4990467118027273,-0.6108306213149333,-1.015006535515222,-0.1062407436529608,0
13,13,2022-09-29 19:49:27.827000+00:00,57.014867366960246,-0.4379112954944121,1.00612071679888,-0.4077453028476155,0.0162557545132253,0.5254581968044373,-0.7759846665938397,-0.2474541413376771,0
14,14,2022-09-29 19:49:27.954000+00:00,42.2318165838216,-0.7266548934975471,0.2196162233647683,-0.1067811967282892,0.1797736825800446,0.8505339742235715,-0.9500062238724132,-0.8724070187513725,0
15,15,2022-09-29 19:49:28.081000+00:00,43.34439681356693,-0.8352051843320845,-0.3534140845400517,-0.0232733071774893,0.1698210154173001,-0.6253623486035691,-0.7084711384567627,-0.3540879843045471,0
16,16,2022-09-29 19:49:28.208000+00:00,35.22488247855305,-0.8770462249324892,-0.5109725629919776,-0.4056097615445895,-0.8256046413379562,-0.1404818854358256,-1.0195165128494752,-0.4393386117214178,0
17,17,2022-09-29 19:49:28.335000+00:00,59.1225783703579,-0.9278195509926558,-0.3495175003224982,-0.7514396255081687,-0.3228576106442019,0.345489134607213,-0.3844756535841123,0.4670360424729308,0
18,18,2022-09-29 19:49:28.462000+00:00,59.57286823657278,-1.0109137869394391,0.8952758323140922,-0.1853037291376383,-1.0453856389086469,-0.3528643967086256,-0.3190746341931565,0.408324781825827,0
19,19,2022-09-29 19:49:28.589000+00:00,35.973286412128665,-1.128299763425164,0.9594895884425574,0.3332498267759083,-1.103941471925073,-0.8386026335465463,-0.8322968963998814,-0.6296459068411058,0
20,20,2022-09-29 19:49:28.716000+00:00,34.25951481889538,-1.1627334985150148,0.8872046914857161,-0.435739241510728,-0.1075978536851911,-0.983980979010592,-1.1147922263154748,-0.4771067283848613,0
21,21,2022-09-29 19:49:28.843000+00:00,100.0,-1.0657387721747025,0.7353142823326619,-0.2582404718447634,1.5687976056672286,0.3640723976237754,-1.0284542652333233,2.0,3
22,22,2022-09-29 19:49:28.970000+00:00,78.76441331490517,-0.9483923098493142,-0.1427246614657288,-0.4415930174654441,0.3924613330972266,-0.0887423428060968,-0.7136811481956116,1.6783389274561382,3
23,23,2022-09-29 19:49:29.097000+00:00,67.48340400231305,-0.899122324349707,-0.2287083821468166,-0.6485600078550727,-0.1327665231528639,0.2681140663716305,-0.925021795096146,1.1777412046454854,3
24,24,2022-09-29 19:49:29.224000+00:00,50.75721236409768,-0.8223862567586646,0.4236369319101516,0.1126001501714906,-1.1029510640265678,-0.8154098871954846,-0.5125353178069221,0.0500854905008445,0
25,25,2022-09-29 19:49:29.351000+00:00,100.0,-0.6702875294087379,1.0260507456939312,-0.1391138083049012,-1.1224815194116962,-0.6423420570306422,-0.0723518529398826,2.0,3
26,26,2022-09-29 19:49:29.478000+00:00,100.0,-0.45590841387136,0.9929027942065646,-0.7274465261607309,0.8134697887117354,1.220439613952567,0.0055944065507982,2.0,3
27,27,2022-09-29 19:49:29.605000+00:00,56.470033095616415,-0.1870394230584449,1.4454099543208418,-0.6883811673565994,-0.0308865644314408,0.2750710170146673,-0.8029005508056992,-0.3607063380941069,0
