,timestamp,total_power,p0,p1,p2,p3,p4,p5,p6
0,2022-09-29 21:42:20.127000+00:00,60.71237346211669,6.572127712151628e-05,0.001403498669328211,0.000714569998236901,0.0008456189446544238,0.00026683762407841966,0.0004524517618926313,0.0004833059572969618
1,2022-09-29 21:42:20.254000+00:00,2.1329293370360642,0.001361262601408625,0.000650618705212257,0.000547472439053089,4.255674478507235e-05,0.00021612994854233327,0.000208148915558676,2.896826459767778e-05
2,2022-09-29 21:42:20.381000+00:00,0.0,0.007340794226684208,0.0004939737752859095,0.00019484359887138265,5.5387064273346075e-05,5.0640959791514904e-05,0.00010822654746373387,0.00010218835547966634
3,2022-09-29 21:42:20.508000+00:00,38.61382479763807,0.019142076322875633,0.0006476328563160788,0.0001377005018135606,0.0002336380430231062,6.389946482505347e-05,0.00011952739355078774,0.0004370442643583075
4,2022-09-29 21:42:20.635000+00:00,100.0,0.0315730693498444,0.0008653243054913362,0.00038750418945387034,0.00014812134420618452,0.000321041826313163,0.0003863670405135574,0.0016881471292003174
5,2022-09-29 21:42:20.762000+00:00,53.54889596022225,0.03848154143189965,0.0008925335201215497,0.0001906965332773573,0.00013808931461735247,0.0003290485559041551,0.00011408447757827524,0.00016435474725276836
6,2022-09-29 21:42:20.889000+00:00,52.02204771903578,0.03871718806679314,0.0011261463276748555,0.0001906778574957898,0.00012155989777806022,0.00019788374100777146,0.0002044872705976762,0.00012063621478805028
7,2022-09-29 21:42:21.016000+00:00,53.08549260813278,0.03567801085518917,0.0008840287681673787,0.00012547614772103665,0.00011559965488613664,0.0003474156150288649,0.00013099587649886192,0.00021197824282230942
8,2022-09-29 21:42:21.143000+00:00,58.18184618517465,0.03315342642771078,0.00040722031757480106,0.00026124434331231943,0.00015769864326752102,0.00021987759470614657,0.0005622763131342014,9.787426067084254e-05
9,2022-09-29 21:42:21.270000+00:00,40.94864621933037,0.032693495028209174,0.00047727155767768553,0.0003255769876942443,1.5464286955965896e-05,9.670895338491512e-05,0.0003191250687531015,8.710591789557566e-05
10,2022-09-29 21:42:21.397000+00:00,34.49804396489521,0.033470479961577135,0.0005328949108969824,0.00028998866511611786,9.863314043827706e-05,2.774216463227476e-05,0.00015709354727569129,9.156326736026798e-05
11,2022-09-29 21:42:21.524000+00:00,66.46145837675888,0.03431730921273085,0.0002985100933980293,6.755310661716477e-05,0.00015696168738158072,9.845104390244172e-05,0.00037902061007375355,0.00045499347035590353
12,2022-09-29 21:42:21.651000+00:00,82.65750221042691,0.034602491329170856,0.0009791786282858364,0.00018914450432293978,0.00012395628877007482,0.0001882672902911352,0.0003870467799106191,0.0006033920365774091
13,2022-09-29 21:42:21.778000+00:00,100.0,0.0336798343594268,0.0009079353096054536,0.0006929905771072102,0.00013907866894623318,0.00012684929393527085,0.00018930965658993265,0.001910784918972794
14,2022-09-29 21:42:21.905000+00:00,53.073814926299974,0.03162514897090653,0.00016836881800071,0.0010038369498598801,3.569647560718251e-05,6.169034795805004e-05,0.00017796925290334452,0.00032894045150687307
15,2022-09-29 21:42:22.032000+00:00,77.60739828174854,0.03026462097436788,0.00029270713262704684,0.001333716506031032,0.00038169247736132873,0.00017524716720913438,0.0005202262880649309,0.0002772256832754112
16,2022-09-29 21:42:22.159000+00:00,65.05848007886061,0.03140502239228124,0.0005637264283308765,0.0012042838958003508,0.00010098367007815855,0.00024053445702201635,0.00017977770047072341,0.00035250603023294667
17,2022-09-29 21:42:22.286000+00:00,100.0,0.034167583151949364,0.0004652263598751452,0.0003566356877592058,7.130694880789262e-05,0.00031810802552349504,0.0002697833967072672,0.0012305912588324427
18,2022-09-29 21:42:22.413000+00:00,83.99785688305612,0.03641877355440558,0.0004205948101427768,0.0009504902241530891,0.00012825015306831524,0.0002993581308778583,0.0007202598000218577,0.00019179207013750348
19,2022-09-29 21:42:22.540000+00:00,69.30684806627552,0.037263682932258076,0.0009174986175807756,0.000548398027502817,0.0003133683661902275,0.00023546136907590622,0.00030049198369998367,0.00024070741791408935
20,2022-09-29 21:42:22.667000+00:00,66.23251434852716,0.03709981378917669,0.0012550983641344987,0.0005760366945357512,0.0001822729590329083,0.0003013590447527268,0.00019917900926470916,0.00024320307710891918
21,2022-09-29 21:42:22.794000+00:00,97.0608688478838,0.03663181410930303,0.0008266293118543287,0.0004896766706549727,0.0003218431787975974,0.00041476316969909447,0.0002659274050228873,0.00067087752153577
22,2022-09-29 21:42:22.921000+00:00,69.85845749394468,0.03658169494250537,0.0002940746837867269,0.0005269162209116985,0.0007680634207398001,0.0002504053146325332,0.00031138055993486826,0.00015466681659370943
23,2022-09-29 21:42:23.048000+00:00,82.49859114413101,0.03677812162424265,0.00022020412817268955,0.0004263783973185069,7.010534572048943e-05,4.163757070347443e-05,0.00020215013369910523,0.00080293325026774
24,2022-09-29 21:42:23.175000+00:00,57.64318574210723,0.03672025187112767,0.0005126339047877834,0.001158684015486826,0.00015223746502304936,0.00015481577518788108,8.697142494300116e-05,0.00022674083529540775
25,2022-09-29 21:42:23.302000+00:00,62.130473174774856,0.03655081199437441,0.0006764727274764484,0.0005211990140297783,0.0005064534584018127,0.0003689548120168639,0.000164529350890572,0.000127669337214541
26,2022-09-29 21:42:23.429000+00:00,61.03745410524474,0.036130026918737596,0.0014763586507369937,0.0011426388146644404,0.0001662977930509417,8.181042213493126e-05,0.00032483157810487406,7.819040011484461e-05
